word,mean,check
AD,n. 公元；广告（ad）,
AIDS,abbr. 获得性免疫缺乏综合征；爱滋病（Acquired Immune Deficiency Syndrome）,
Africa,n.  非洲,
African,adj. 非洲的，非洲人的 n. 非洲人,
America,n. 美洲（包括北美和南美洲）；美国,
American,n. 美国人，美洲人；美国英语 adj. 美国的，美洲的；地道美国式的,
Antarctic,adj. 南极的 n.  南极地区,
April,n.  四月,
Arabian,n. 阿拉伯人 a阿拉伯(人)的,
Arabic,adj. 阿拉伯的；阿拉伯人的 n. 阿拉伯语,
Arctic,adj. 北极的；极寒的 n. 北极圈；御寒防水套鞋,
Asia,n.  亚洲,
Asian,n. 亚洲人 adj. 亚洲的；亚洲人的,
Atlantic,adj. 大西洋的 n.  大西洋,
August,adj. 威严的；令人敬畏的 n. 八月（简写为Aug）,
Australia,n. 澳大利亚，澳洲,
Australian,adj. 澳大利亚的，澳大利亚人的 n. 澳大利亚人,
Automatically,adv. 自动地；不经思考地,
Baby,n. 婴儿，婴孩；孩子气的人 v. 纵容，娇纵；把……当婴儿般对待 adj. 婴儿的；幼小的,
Belgium,n. 比利时（西欧国家，首都布鲁塞尔Brussels）,
Bible,n. 基督教《圣经》,
Brazilian,adj.  巴西的； 巴西人的 n. 巴西人,
Britain,n. 英国；不列颠,
British,adj. 英国的；英国人的；大不列颠的 n. 英国人,
Buddhism,n. 佛教，释教,
Buddhist,n. 佛教徒 adj. 佛教的,
CD,abbr. 光盘，激光唱片（Compact Disc）；呼叫设备（Calling Device）；中央地区（Central District）；商务部（Commerce Department）,
Canada,n. 加拿大（北美洲国家）,
Canadian,adj. 加拿大（人）的 n. 加拿大人,
Catholic,adj. 天主教的 n. 天主教徒,
China,n. 中国 adj. 中国的；中国制造的,
Chinese,n. 中文，汉语；中国人 adj. 中国的，中国人的；中国话的,
Christ,n. 救世主（耶稣基督）,
Christian,n. 基督徒，信徒 adj. 基督教的；信基督教的,
Christmas,n. 圣诞节；圣诞节期间,
DVD,abbr. 数字化视频光盘（Digital Video Disk）,
December,n. 十二月(略作Dec),
Dr,abbr. 速度三角形定位法（dead reckoning）；数据记录器（Data Recorder）,
Dynamic,adj. 动态的；动力的；动力学的；有活力的 n. 动态；动力,
Dynasty,n. 王朝，朝代,
Easter,n.  复活节,
